3.4.6.20180625153776,chrome,DEV,2018-06-25 18:43:55,1.629s
3.4.6.20180625153776,chrome,DEV,2018-06-25 18:44:24,1.391s
3.4.6.20180625153776,chrome,DEV,2018-06-25 18:44:53,1.124s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 18:51:47,1.187s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 18:53:27,4.036s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 18:54:11,1.321s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 18:54:32,1.394s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 18:54:56,1.148s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 18:55:23,0.992s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 18:56:34,1.228s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 19:00:41,1.164s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 19:04:01,1.626s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 19:12:06,1.169s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 19:14:00,1.351s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 19:14:52,0.861s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 19:15:39,1.158s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 19:16:10,0.985s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 19:18:16,1.201s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 19:19:48,1.255s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 19:24:35,1.41s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 20,Completed: 2,Submitted: 16,2018-06-25 19:25:21,1.342s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 20,Completed: 2,Submitted: 16,2018-06-25 19:29:33,1.136s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 19:30:23,1.508s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 19:32:10,1.08s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 19:32:32,1.214s
3.4.6.20180625153776,chrome,DEV,Total Assessments: 30,Completed: 7,Submitted: 19,2018-06-25 19:35:23,1.126s
3.4.5.20180607148339,chrome,TEST,Total Assessments: 234,Completed: 54,Submitted: 168,2018-06-25 19:54:40,1.666s
3.4.5.20180607148339,chrome,TEST,Total Assessments: 234,Completed: 54,Submitted: 168,2018-06-25 20:01:56,1.715s
3.4.5.20180607148339,chrome,TEST,Total Assessments: 234,Completed: 54,Submitted: 168,2018-06-25 20:03:18,1.624s
3.4.5.20180607148339,chrome,TEST,Total Assessments: 100,Completed: 10,Submitted: 83,2018-06-25 20:04:05,1.178s
3.4.5.20180607148339,chrome,TEST,Total Assessments: 100,Completed: 10,Submitted: 83,2018-06-25 20:04:46,0.957s
3.4.5.20180607148339,chrome,TEST,Total Assessments: 234,Completed: 54,Submitted: 168,2018-06-25 20:05:19,0.286s
3.4.5.20180607148339,chrome,TEST,Total Assessments: 234,Completed: 54,Submitted: 168,2018-06-25 20:05:51,2.001s
3.4.6.201806251718764,chrome,TEST,Total Assessments: 234,Completed: 54,Submitted: 168,2018-06-26 10:04:17,1.39s
3.4.6.201806251718764,chrome,TEST,Total Assessments: 238,Completed: 58,Submitted: 168,2018-06-27 08:25:03,1.25s
3.4.6.201806251718764,firefox,TEST,Total Assessments: 236,Completed: 56,Submitted: 170,2018-06-28 12:51:39,0.814s
3.4.6.201806251718764,chrome,TEST,Total Assessments: 236,Completed: 56,Submitted: 170,2018-06-28 13:18:28,0.789s
3.4.6.201806281722225,firefox,TEST,Total Assessments: 236,Completed: 56,Submitted: 170,2018-06-29 11:58:36,0.88s
3.4.6.201806281722225,firefox,TEST,Total Assessments: 236,Completed: 56,Submitted: 170,2018-06-29 17:48:37,0.976s
3.4.6.201806281722225,firefox,TEST,Total Assessments: 236,Completed: 56,Submitted: 170,2018-06-29 18:25:20,0.555s
3.4.6.201806281722225,chrome,TEST,Total Assessments: 236,Completed: 56,Submitted: 170,2018-07-02 09:11:03,1.312s
3.4.6.201806281722225,chrome,TEST,Total Assessments: 236,Completed: 55,Submitted: 171,2018-07-03 09:32:16,2.469s
3.4.6.201806281722225,chrome,TEST,Total Assessments: 230,Completed: 47,Submitted: 173,2018-07-04 08:16:27,1.273s
3.4.6.201807040535196,chrome,TEST,Total Assessments: 230,Completed: 47,Submitted: 173,2018-07-04 08:55:45,1.638s
3.4.6.201807040535196,chrome,TEST,Total Assessments: 230,Completed: 47,Submitted: 173,2018-07-05 09:11:08,1.488s